geo_id2,geo_name,eatribe,eaid,state,year,pcinc,LOGPCINC,LNPCINC,FC,HC,ea_v5,ea_v30,ea_v32,ea_v66,pcinc_co,unempl_co,logpop,logpopsq,logdist,DIST,logruggedness,casino,logresarea_sqkm,BIA_reg,removal,popadultshare,instrument_gold,intrument_silver,wgold_enviro,wsilver_enviro,count_1_all,count_5_governance,count_5_notgovernance,count_7_governance,count_7_notgovernance,share_5_governance,share_5_notgovernance,share_7_governance,share_7_notgovernance
2070,"Lummi Reservation, WA",LUMMI . .,477,WA,2000,10145,4.006252051,9.224736252,1,0,0,2,3,4,20640.5,4.6,7.614805222,57.98525857,2.41914463,262.5092616,0.969804406,1,4.553767263,Northwest,10.02378654,64.10256958,0,0,0,0,28,0,0,9,0,0,0,0.321428567,0
2085,"Makah Reservation, WA",MAKAH . .,507,WA,2000,9835,3.992774364,9.193702731,1,0,0,3,3,4,19517,3.9,6.981005669,48.73444015,4.531330585,33988.38942,0.279349536,1,4.803875263,Northwest,10.36083317,65.1486969,0,0,0,0,27,0,0,2,3,0,0,0.074074075,0.111111112
2100,"Manchester-Point Arena Rancheria, CA",S.POMO. .,534,CA,2000,6498,3.812779707,8.779249716,1,0,0,2,3,2,19443,4.5,5.135798454,26.37642576,3.842621088,6960.189885,-1.602269411,0,0.421580398,Pacific,11.59226418,71.76470947,0,0,0,0,2,0,0,0,1,0,0,0,0.5
2130,"Maricopa (Ak Chin) Reservation, AZ",PAPAGO. .,184,AZ,2000,7811,3.892706638,8.963288276,1,0,5,3,3,1,19138,3.45,6.480044365,41.99097497,3.402243614,2524.896697,-2.911197662,1,4.449272515,Western,11.13454533,59.9693222,0,1.646788359,12933.59473,87083.47656,0,0,0,0,0,0,0,0,0
2175,"Menominee Reservation and Off-Reservation Trust Land, WI",MENOMINI.,661,WI,2000,8096,3.908270499,8.999125392,1,1,2,3,3,1,19059.83333,2.766666667,7.942006588,63.07546864,4.206430912,16085.3647,-2.622762203,0,6.840156844,Midwest,12.18492985,59.54496765,0,0,0,0,52,1,0,4,3,0.01923077,0,0.07692308,0.057692308
2190,Mesa Grande,DIEGUENO.,339,CA,2000,10394,4.016782712,9.248983996,0,0,0,2,3,1,22926,3.6,5.783825397,33.45263622,3.457936764,2870.362607,-0.066052303,0,1.272164326,Pacific,13.79483986,64,0,0,150192.2031,23443.02344,5,0,0,1,1,0,0,0.200000003,0.200000003
2205,"Mescalero Reservation, NM",W.APACHE.,441,NM,2000,7541,3.877428941,8.928110078,1,0,3,3,3,1,16224.33333,3.8,7.954372406,63.27204037,3.803601503,6362.114829,-0.53203243,1,7.529596691,Southwest,12.71285629,62.8862381,0.334744096,0.694933116,0,0,43,2,0,7,3,0.046511628,0,0.162790701,0.069767445
2270,"Mille Lacs Reservation and Off-Reservation Trust Land, MN",CHIPPEWA.,499,MN,2000,9790,3.990782692,9.189116736,1,0,2,2,3,1,18314.1,3.7,6.879355907,47.3255377,3.956797361,9053.100913,-3.238984108,1,5.582677994,Midwest,12.4350214,61.11111069,0,0,0,0,78,9,1,2,8,0.115384616,0.012820513,0.025641026,0.102564104
2300,"Mississippi Choctaw Reservation and Off-Reservation Trust Land, MS",CHOCTAW .,1159,MS,2000,6864,3.836577275,8.834045641,1,1,4,5,2,1,14835.17647,4.2,8.320691109,69.23390053,4.135638714,13665.91496,-2.744316578,1,4.433590208,Eastern,12.01143646,60.85686493,0,0,0,0,4,0,0,0,0,0,0,0,0
2315,"Moapa River Reservation, NV",MOAPA . .,593,NV,2000,13252,4.122281427,9.491903763,0,0,0,2,2,1,19555.5,3.35,5.056245804,25.56562163,3.976788521,9479.567445,-1.31730926,1,5.669727797,Western,10.88989258,78.980896,0,0,0,422552.2188,0,0,0,0,0,0,0,0,0
2360,"Morongo Reservation, CA",CAHUILLA.,546,CA,2000,23219,4.365843512,10.05272619,0,0,0,2,3,1,17772.5,4.65,6.368186951,40.55380504,1.917662263,82.72985496,0.163722783,1,4.846763222,Pacific,11.43622398,57.1183548,4.143348217,0,665358.8125,60879.77734,33,0,1,5,3,0,0.030303031,0.151515156,0.090909094
2375,"Muckleshoot Reservation and Off-Reservation Trust Land, WA",SQUAMISH.,475,WA,2000,9194,3.963504499,9.126306376,1,0,0,3,3,2,25234.5,3.6,6.936342716,48.11285027,1.632082462,42.86298994,-2.060505867,1,2.736726049,Northwest,11.13798618,56.75413132,0,0,0,0,9,0,0,1,0,0,0,0.111111112,0
2400,"Nambe Pueblo and Off-Reservation Trust Land, NM",TEWA. . .,435,NM,2000,9295,3.968249394,9.1372319,0,0,9,7,2,1,19622.2,4.12,6.152732849,37.85612151,3.051295042,1125.369245,-0.564609766,0,4.4285608,Southwest,10.51367378,68.51064301,0,0,0,12977.11426,47,1,1,4,5,0.021276595,0.021276595,0.08510638,0.106382981
2430,"Navajo Nation Reservation and Off-Reservation Trust Land, AZ--NM--UT",NAVAHO. .,182,AZ--NM--UT,2000,6807,3.832955751,8.825706773,1,0,7,3,3,1,15736.83333,4.691666667,12.07166672,145.7251374,4.760127068,57560.83264,-1.231336832,0,11.04139221,Navajo,12.22800255,63.08486938,0,0,0,62152.21875,16,0,0,0,0,0,0,0,0
